,ID,pclass,sex,age,sibsp,parch,fare,embarked,survived
0,1,3,male,20.0,0,0,4.0,C,0
1,2,3,female,18.0,0,0,7.2,C,1
2,3,2,male,29.3817537087912,0,0,15.6,C,0
3,4,2,male,29.3817537087912,0,0,0.0,S,0
4,5,3,female,2.0,3,2,27.9,S,0
5,6,1,male,45.0,0,0,29.7,C,1
6,7,1,male,50.0,1,0,106.4,C,0
7,8,2,male,18.0,0,0,10.5,S,0
8,9,2,male,44.0,1,0,32.398897464167575,S,0
9,10,1,female,23.0,3,2,263.0,S,1
10,11,2,male,25.0,0,0,10.5,S,0
11,12,3,female,29.3817537087912,0,0,7.7,Q,1
12,13,1,female,22.0,0,0,151.6,S,1
13,14,3,female,29.3817537087912,2,0,23.3,Q,1
14,15,1,male,30.0,1,0,57.8,C,1
15,16,1,female,55.0,0,0,135.6,C,1
16,17,3,male,32.0,0,0,22.5,S,0
17,18,3,male,26.0,0,0,7.9,Q,0
18,19,1,male,29.3817537087912,0,0,26.0,S,0
19,20,1,male,37.0,1,1,83.2,C,0
20,21,2,female,22.0,0,0,10.5,S,1
21,22,3,male,29.3817537087912,1,2,23.5,S,0
22,23,3,male,20.0,1,0,7.9,S,1
23,24,2,male,28.0,0,0,13.5,S,0
24,25,3,male,28.0,0,0,7.9,S,0
25,26,2,male,25.0,0,0,10.5,S,0
26,27,1,female,30.0,0,0,31.0,C,1
27,28,1,male,41.0,1,0,32.398897464167575,S,0
28,29,3,female,35.0,0,0,7.8,Q,0
29,30,2,female,27.0,1,0,21.0,S,0
30,31,2,female,36.0,0,3,39.0,S,1
31,32,2,male,30.0,0,0,10.5,S,0
32,33,1,female,47.0,1,1,52.6,S,1
33,34,3,female,22.0,0,0,7.8,S,1
34,35,2,male,23.0,0,0,15.0,C,0
35,36,2,female,8.0,0,2,26.3,S,1
36,37,3,male,29.0,0,0,7.9,S,0
37,38,3,female,29.3817537087912,0,0,7.8,Q,1
38,39,1,male,25.0,1,0,55.4,C,1
39,40,1,male,36.0,0,0,75.2,C,0
40,41,3,male,21.0,0,0,7.9,S,0
41,42,2,female,29.3817537087912,0,0,12.4,Q,1
42,43,3,female,18.0,0,1,14.5,C,0
43,44,3,male,29.3817537087912,0,0,7.3,S,0
44,45,3,male,19.0,0,0,0.0,S,0
45,46,3,female,45.0,0,0,7.8,S,0
46,47,1,male,53.0,0,0,28.5,C,1
47,48,3,female,31.0,1,1,20.5,S,1
48,49,3,male,25.0,0,0,7.3,S,0
49,50,3,male,21.0,0,0,7.8,Q,0
50,51,3,male,12.0,1,0,11.2,C,1
51,52,1,male,39.0,1,0,71.3,C,0
52,53,1,male,50.0,1,1,211.5,C,0
53,54,3,male,18.0,0,0,7.8,S,0
54,55,1,male,36.0,0,0,40.1,C,0
55,56,2,male,63.0,1,0,26.0,S,0
56,57,2,male,32.5,1,0,30.1,C,0
57,58,3,male,55.5,0,0,8.1,S,0
58,59,3,male,19.0,0,0,7.9,S,0
59,60,1,male,38.0,0,0,0.0,S,0
60,61,2,male,27.0,0,0,15.0,C,0
61,62,3,male,22.0,0,0,7.2,C,1
62,63,3,male,34.0,1,1,32.398897464167575,S,0
63,64,3,male,29.3817537087912,0,0,7.8,Q,0
64,65,2,male,42.0,0,0,13.0,S,0
65,66,3,male,23.0,0,0,7.8,S,1
66,67,1,female,17.0,1,0,57.0,S,1
67,68,3,male,33.0,0,0,8.7,C,0
68,69,1,male,24.0,1,0,82.3,S,1
69,70,3,male,21.0,0,0,7.9,S,0
70,71,3,male,24.0,2,0,24.2,S,0
71,72,1,female,41.0,0,0,134.5,C,1
72,73,2,female,19.0,1,0,26.0,S,1
73,74,2,female,36.0,1,0,26.0,S,1
74,75,1,male,48.0,0,0,26.6,S,1
75,76,2,male,16.0,0,0,10.5,S,0
